Name,URL,Rating,Reviews,Price,Type,Claimed
Haidilao Hot Pot - Seattle,https://www.yelp.com/biz/haidilao-hot-pot-seattle-seattle,4.4,(796 reviews),$$$,Hot Pot,Claimed
Lionhead,https://www.yelp.com/biz/lionhead-seattle-2,4.0,(359 reviews),$$,Szechuan,Claimed
Kin Len Thai Night Bites,https://www.yelp.com/biz/kin-len-thai-night-bites-seattle-2,4.3,(871 reviews),$$,Thai,Claimed
Some Random Bar,https://www.yelp.com/biz/some-random-bar-seattle,4.5,(1.2k reviews),$$,New American,Claimed
Pink Salt Restaurant,https://www.yelp.com/biz/pink-salt-restaurant-seattle-2,4.3,(170 reviews),$$$,Peruvian,Claimed
Joule,https://www.yelp.com/biz/joule-seattle,4.0,(1.1k reviews),$$$,Korean,Claimed
Cactus Restaurants,https://www.yelp.com/biz/cactus-restaurants-seattle-3,4.1,(1.1k reviews),$$,Tex-Mex,Claimed
The Chicken Supply,https://www.yelp.com/biz/the-chicken-supply-seattle,4.6,(136 reviews),N/A,Chicken Shop,Claimed
19 GOLD,https://www.yelp.com/biz/19-gold-seattle,4.5,(1.1k reviews),$$,Taiwanese,Claimed
Zig Zag Cafe,https://www.yelp.com/biz/zig-zag-cafe-seattle-2,4.3,(1.2k reviews),$$$,New American,Claimed
84 Yesler,https://www.yelp.com/biz/84-yesler-seattle,4.6,(156 reviews),$$$,Italian,Claimed
Rocco's,https://www.yelp.com/biz/roccos-seattle,4.2,(1.9k reviews),$$,Bars,Claimed
Cafe Hagen,https://www.yelp.com/biz/caf%C3%A9-hagen-seattle,4.3,(516 reviews),Unclaimed,Scandinavian,N/A
Homer,https://www.yelp.com/biz/homer-seattle,4.4,(390 reviews),N/A,Mediterranean,Claimed
Tavolata - Capitol Hill,https://www.yelp.com/biz/tavol%C3%A0ta-capitol-hill-seattle-3,4.0,(506 reviews),$$,Italian,Claimed
Almanqal Mediterranean Grill,https://www.yelp.com/biz/almanqal-mediterranean-grill-seattle,4.5,(205 reviews),N/A,Mediterranean,Claimed
Hannyatou,https://www.yelp.com/biz/hannyatou-seattle-2,4.7,(75 reviews),N/A,Japanese,Claimed
Karachi Cowboys,https://www.yelp.com/biz/karachi-cowboys-seattle,4.1,(60 reviews),$$,Pakistani,Claimed
Niku Niku Japanese Barbecue,https://www.yelp.com/biz/niku-niku-japanese-barbecue-seattle,4.4,(378 reviews),$$$,Barbeque,Claimed
Sugo Hand Roll Bar,https://www.yelp.com/biz/sugo-hand-roll-bar-seattle-2,4.3,(853 reviews),N/A,Sushi Bars,Claimed
Mike's Noodle House,https://www.yelp.com/biz/mikes-noodle-house-seattle,4.0,(1.5k reviews),$$,Cantonese,Claimed
Gold Bar,https://www.yelp.com/biz/gold-bar-seattle-3,4.1,(104 reviews),$$,Latin American,Claimed
Call A Chicken,https://www.yelp.com/biz/call-a-chicken-seattle-2,2.7,(65 reviews),N/A,Chicken Shop,Claimed
Harbor City Restaurant,https://www.yelp.com/biz/harbor-city-restaurant-seattle,3.8,(2.2k reviews),$$,Barbeque,Claimed
Windy City Pie,https://www.yelp.com/biz/windy-city-pie-seattle,4.2,(644 reviews),$$,Pizza,Claimed
